DRUGNM,DRUGID
VITAMIN K INJ,1
CEFTRIAXONE,2
IV CATHETER,3
SCALP VEIN SET,4
MULTIVITAMIN INJ,5
NIFEDIPINE,6
TRANEXAMIC ACID,7
ETAMSYLATE INJECTION,8
