CATAGORY,DOC_TYPE,DESCRIPT,OPENPDF,PATH,TAGS,SRNO,TYPE,FORM
3,BANK,HERE YOU CAN CREATE BANK ACCOUNT,                  47,Masters > Accounts >,,0,H,
2,GROUPS,,                  48,Masters >,,0,H,
2,PRODUCT,HERE YOU CAN CREATE NEW/CHANGE PRODUCT WITH ALL THE DETAILS,                  49,Masters >,,0,H,FRMPRODUCT
2,DRUG,HEREYOU CAN CREATE NEW/CHANGE DRUG,                  50,Masters >,,0,H,
2,COMPANY,HEREYOU CAN CREATE NEW/CHANGE COMPANY,                  51,Masters >,,0,H,
2,MANUFACTURER,HEREYOU CAN CREATE NEW/CHANGE MANUFACTURER,                  52,Masters >,,0,H,
2,DOCTOR,HEREYOU CAN CREATE NEW/CHANGE DOCTOR,                  53,Masters >,,0,H,
2,SALESMAN,HEREYOU CAN CREATE NEW/CHANGE SALESMAN,                  54,Masters >,,0,H,
2,ALLCODE,"HERE YOU CAN CREATE NEW/CHANGE AREA ,CUSTOMER BANK, BRANCH,DOCTOR, SALESMAN",                  55,Masters >,,0,H,
2,TRANSPORTER,HERE YOU CAN CREATE NEW/CHANGE TRANSPORTORS,                  56,Masters >,,0,H,
2,OPERATORS,HERE YOU CAN CREATE NEW/CHANGE OPERATORS AND ASSIGN THEM AUTHORITIES,                  57,Masters >,,0,H,
2,CATEGORY,HERE YOU CAN CREATE NEW/CHANGE PRODUCT CATEGORY,                  58,Masters >,,0,H,
2,LOCKING ALL DEBTORS,"USING THIS OPTION YOU CAN LOCK DEBTOR PARTY AFTER MENTIONED CC BILLS,DAYS,STATEMENTS...ETC.",                  59,Masters >,,0,H,
2,CREDIT NOTE HOLDING,USING THIS OPTION YOU CAN HOLD CREDIT NOTE PARTYWISE AND FOR SOME PERIOD ALSO,                  60,Masters >,,0,H,
3,HOLD CREDIT NOTES FOR GIVEN PA,,                  61,Masters > Creadit Note Holding >,,0,H,
3,HOLD CREDIT NOTES FOR GIVEN PE,,                  62,Masters > Creadit Note Holding >,,0,H,
2,PARTY/COMPANY (CREDITOR),HERE YOU CAN MENTION NUMBER OF COMPANIES OF ONE CREDITOR,                  63,Masters >,,0,H,
2,PARTY/COMPANY/DISC (DEBTOR),HERE YOU CAN MENTION  DISCOUNT PERCENT FOR COMPANY,                  64,Masters >,,0,H,
2,PARTY/DOCTOR/PRODUCT RELATION,IN THIS OPTION YOU CAN SET PRODUCT LIST FOR DOCTOR TAKEN FROM PERTICULAR CREDITOR,                  65,Masters >,,0,H,
2,PARTY/PRODUCT DISCOUNT,,                  66,Masters >,,0,H,
0,STRUCTURE,,                  67,Masters >,,0,H,
2,SALESMAN PARTY,USING THIS OPTION YOU CAN ASSIGN/CHANGE DEBTOR PARTIES TO PARTICULAR SALESMAN,                  68,Masters >,,0,H,
2,MERGE ACCOUNT,IF U HAVE CREATED DIFFERENT ACCOUNTS OF ONE PARTY THEN USING THIS OPTION YOU CAN MERGE THAT INTO ONE,                  69,Masters >,,0,H,
1,REPORTS,HERE YOU CAN GET SUMMARY  OF ALL DATA,                  70,Reports,,0,H,
2,LIST,THIS OPTION GIVE U LIST OF FOLLOWING OPTIONS,                  71,Reports >,,0,H,
3,COMPANY LIST,THIS OPTION GIVE YOU LIST OF ALL COMPANIES WITH ITS SHORT NAME,                  72,Reports > List  >,,0,H,
3,PRODUCT LIST,THIS OPTION SHOW PRODUCT LIST,                  73,Reports > List  >,,0,H,
4,PRODUCT LIST(ALL),"HERE YOU CAN GET LIST OF ALL PRODUCT AND SCH """"""""H1"""""""" PRODUCT",                  74,Reports > List  > Product List >,,0,H,
4,COMPANY-WISE PRODUCT LIST,THIS OPTION GIVES YOU COMPANY WISE PRODUCT LIST,                  75,Reports > List  > Product List >,,0,H,
4,MSCDA/CARE CODE LIST,USING THIS OPTION YOU CAN CHANGE/DELETE PRODUCT CODES(MSCDA/CARE),                  76,Reports > List  > Product List >,,0,H,
4,NEWLY ADDED,THIS OPTION SHOWS YOU NEWLY ADDED PRODUCT LIST,                  77,Reports > List  > Product List >,,0,H,
3,PARTY LIST,THIS OPTION GIVES YOU LIST OF PARTIES(CREDITORS/DEBTORS),                  78,Reports > List  >,,0,H,
4,CREDITORS(OPENING BALANCE),THIS OPTION GIVES YOU LIST OF CREDITOR PARTIES WITH OPENING BALANCE,                  79,Reports > List  > Party List >,,0,H,
4,DEBTORS LIST,THIS OPTION GIVES YOU LIST OF DEBTORS,                  80,Reports > List > Party List >,,0,H,
4,DEBTORS LIST(AREA WISE),"THIS OPTION GIVES YOU LIST OF DEBTORS AREAWISE,PTS PARTIES,SALESMANWISE...ETC.",                  81,Reports > List > Party List >,,0,H,
4,DEBTORS (OPENING BALANCE),THIS OPTION GIVES YOU LIST OF CREDITOR PARTIES WITH OPENING BALANCE,                  82,Reports > List > Party List >,,0,H,
4,DEBTORS LIST(AREA WISE LABEL),THIS OPTION GIVES YOU LABLE OF DEBTOR PATY NAME AND ADRESS WHICH YOU CAN PRINT,                  83,Reports > List > Party List >,,0,H,
4,OTHER ACCOUNTS LIST,"THIS OPTION GIVES YOU LIST OF OTHER ACCOUNTS LIKE CASH IN HAND,JV ENTERY....ETC",                  84,Reports > List > Party List >,,0,H,
3,DAILY SALES,THIS OPTION GIVES YOU LIST OF DAILY TRANSACTION,                  85,Reports > List  >,,0,H,
3,C.N RATIO WITH SALE,\\,                  86,Reports > List  >,,0,H,
3,CN PENDING AREAWISE,THIS OPTION GIVES YOU PENDING CREDIT NOTE AREAWISE,                  87,Reports > List  >,,0,H,
3,CREDIT NOTE LIST,"THIS OPTION GIVES YOU LISTOF CREDIT NOTE VOUCHER WISE,PRODUCT WISE AND ADJUSTED",                  88,Reports > List  >,,0,H,
3,DEBIT NOTE LIST,"THIS OPTION GIVES YOU LISTOF DEBIT NOTE VOUCHER WISE,PRODUCT WISE, PENDING,ALL",                  89,Reports > List  >,,0,H,
3,COMPANY/PRODUCTWISE CN LIST SU,CN CREATED OF ALL THE PRODUCTS THAT BELONG TO SPECIFIED COMPANY CAN BE VIEWED HERE,                  90,Reports > List  >,,0,H,
3,CREDIT NOTE PRODUCTWISE(ALL),USING THIS OPTION YOU CAN GET LIST OF CREDIT/DEBIT NOTE AS PER THEIR PARTY NAME,                  91,Reports > List  >,,0,H,
3,CREDIT NOTE PRODUCTWISE(PARTIC,USING THIS OPTION YOU CAN CHECK CREDIT NOTE OF PARTICULAR PRODUCT,                  92,Reports > List  >,,0,H,
3,LIST OF CREDIT NOTE(CATEGORYWI,"USING THIS OPTION YOU CAN CHECK CREDIT NOTE FOR BREAKAGE,EXPIRY,OTHER AND ALL",                  93,Reports > List  >,,0,H,
3,LIST OF BREAKAGE EXPIRY DEBIT,HERE YOU CAN GET LIST OF ALL AND PENDING EXPIRY/BREAKAGE DEBIT NOTE PARTYWISE,                  94,Reports > List  >,,0,H,
3,EXPIRY BREAKAGE TRANSPORT REG,\\,                  95,Reports > List  >,,0,H,
3,PRICE LIST,THIS REPORT DISPLAYS MRP AND RATE OF ALL THE PRODUCTS OR OF CURRENT STOCK,                  96,Reports > List  >,,0,H,
4,ALL,"THIS IS LIST OF COMPANYWISE PRODUCT LIST WITH ITS MRP, RATE AND SCHEMES",                  97,Reports > List  > Price List >,,0,H,
4,STOCK,"THIS IS LIST OF ALL PRODUCT WITH ITS MRP,RATE",                  98,Reports > List  > Price List >,,0,H,
